FechaPrestamo;EdadPrestamo;MontoPrestado;Cuotas
29/09/2007 0:00;41;632;8
29/05/2008 0:00;40;1044;4
01/06/2009 0:00;42;675;4
29/05/2008 0:00;30;811;4
16/02/2011 0:00;33;705;4
30/01/2009 0:00;53;861;4
12/10/2010 0:00;52;642;4
27/02/2012 0:00;50;676;4
30/01/2009 0:00;20;752;4
27/07/2017 0:00;38;680;4
05/02/2010 0:00;23;747;4
05/02/2010 0:00;32;796;4
06/07/2012 0:00;35;535;4
16/02/2011 0:00;44;765;4
29/03/2016 0:00;26;867;4
27/02/2012 0:00;38;808;4
27/02/2012 0:00;27;881;4
27/02/2012 0:00;34;927;4
28/11/2017 0:00;28;968;4
26/04/2023 0:00;57;808;4
26/11/2014 0:00;33;770;4
26/04/2023 0:00;54;646;4
30/03/2015 0:00;44;669;4
17/07/2013 0:00;41;639;4
24/08/2021 0:00;60;881;4
20/11/2013 0:00;40;1148;4
26/07/2016 0:00;25;578;4
20/11/2013 0:00;25;800;4
25/07/2014 0:00;33;590;4
25/07/2014 0:00;32;854;4
26/11/2015 0:00;23;677;4
25/07/2014 0:00;20;777;4
27/07/2015 0:00;71;699;4
27/07/2015 0:00;47;689;4
28/11/2016 0:00;34;1031;4
29/03/2016 0:00;24;547;4
29/03/2016 0:00;36;1072;4
29/03/2016 0:00;42;617;4
14/12/2018 0:00;41;1014;4
28/11/2016 0:00;49;502;4
26/07/2016 0:00;36;1013;4
26/04/2023 0:00;34;904;4
26/07/2016 0:00;43;958;4
29/03/2016 0:00;37;746;4
28/08/2019 0:00;41;1161;4
26/04/2023 0:00;56;700;4
09/08/2018 0:00;60;695;4
26/04/2023 0:00;37;1021;4
09/08/2018 0:00;57;1026;4
26/04/2023 0:00;37;828;4
23/12/2019 0:00;36;1073;4
05/04/2018 0:00;18;875;4
23/12/2019 0:00;53;870;4
05/04/2018 0:00;26;1042;4
23/12/2019 0:00;65;828;4
14/12/2018 0:00;20;670;4
09/08/2018 0:00;41;645;4
23/12/2019 0:00;65;1101;4
28/08/2019 0:00;29;769;4
11/12/2020 0:00;41;773;4
26/04/2023 0:00;42;541;4
26/04/2023 0:00;38;776;4
26/04/2023 0:00;62;641;4
26/04/2023 0:00;34;1027;4
26/04/2023 0:00;23;894;4
26/04/2023 0:00;49;1102;4
26/04/2023 0:00;35;690;4
26/04/2023 0:00;22;881;4
22/07/2010 0:00;41;559;4
12/06/2007 0:00;44;847;8
29/11/2010 0:00;34;677;4
30/05/2006 0:00;41;844;8
29/11/2010 0:00;40;849;4
22/07/2010 0:00;67;885;4
29/11/2010 0:00;43;784;4
12/06/2007 0:00;40;671;8
30/05/2006 0:00;48;918;8
21/12/2022 0:00;77;950;4
17/10/2007 0:00;35;1200;8
29/11/2010 0:00;52;941;4
19/03/2010 0:00;46;1052;4
22/07/2010 0:00;38;636;4
30/10/2008 0:00;32;867;8
11/11/2009 0:00;26;1175;4
21/12/2022 0:00;57;1045;4
30/10/2008 0:00;33;855;8
20/02/2008 0:00;48;727;8
30/10/2008 0:00;25;713;8
07/02/2007 0:00;38;1023;8
30/05/2006 0:00;35;599;8
12/06/2007 0:00;32;972;8
30/10/2008 0:00;58;945;8
12/06/2007 0:00;48;809;8
06/10/2006 0:00;30;672;8
17/10/2007 0:00;55;823;8
12/06/2007 0:00;59;689;8
30/10/2008 0:00;21;883;8
11/11/2009 0:00;38;1002;4
29/11/2010 0:00;71;806;4
21/12/2018 0:00;33;686;4
17/10/2007 0:00;46;778;8
20/02/2008 0:00;51;715;8
22/07/2010 0:00;54;840;4
08/04/2016 0:00;33;878;4
30/10/2008 0:00;37;662;8
26/06/2008 0:00;39;851;8
26/06/2008 0:00;30;797;8
17/12/2019 0:00;71;783;4
28/08/2018 0:00;73;662;4
22/07/2010 0:00;30;757;4
06/08/2020 0:00;48;793;4
11/11/2009 0:00;30;862;4
21/12/2022 0:00;56;495;4
21/11/2014 0:00;43;607;4
22/07/2010 0:00;75;1113;4
29/11/2010 0:00;37;1000;4
29/11/2010 0:00;42;612;4
26/01/2012 0:00;34;745;4
26/01/2012 0:00;27;784;4
14/06/2012 0:00;45;725;4
31/10/2013 0:00;32;613;4
31/10/2013 0:00;53;799;4
09/04/2021 0:00;59;922;4
31/10/2013 0:00;61;1176;4
23/08/2022 0:00;43;554;4
17/10/2012 0:00;19;645;4
22/02/2013 0:00;23;606;4
21/12/2022 0:00;55;529;4
31/10/2013 0:00;32;575;4
21/12/2018 0:00;35;583;4
21/04/2022 0:00;61;883;4
21/11/2014 0:00;62;860;4
31/10/2013 0:00;25;533;4
31/10/2013 0:00;27;666;4
06/03/2014 0:00;44;543;4
25/04/2019 0:00;48;612;4
27/04/2018 0:00;37;728;4
14/07/2014 0:00;26;808;4
14/07/2014 0:00;30;1063;4
15/12/2016 0:00;37;664;4
27/04/2018 0:00;23;571;4
21/12/2022 0:00;60;913;4
27/03/2015 0:00;39;536;4
17/12/2019 0:00;46;717;4
21/12/2022 0:00;65;832;4
25/04/2017 0:00;60;787;4
21/12/2018 0:00;57;936;4
28/08/2019 0:00;49;674;4
21/12/2022 0:00;47;1026;4
21/12/2022 0:00;40;889;4
21/12/2018 0:00;24;828;4
25/04/2019 0:00;35;756;4
06/08/2020 0:00;53;626;4
17/12/2019 0:00;39;547;4
06/08/2020 0:00;21;584;4
28/08/2019 0:00;37;464;4
09/04/2021 0:00;24;744;4
21/04/2022 0:00;40;989;4
09/04/2021 0:00;20;487;4
17/12/2019 0:00;44;639;4
21/12/2022 0:00;29;1170;4
09/04/2021 0:00;33;964;4
21/12/2022 0:00;28;886;4
21/12/2022 0:00;31;644;4
21/12/2022 0:00;50;696;4
21/12/2022 0:00;39;871;4
23/08/2022 0:00;53;735;4
21/12/2022 0:00;69;1080;4
06/11/2008 0:00;22;686;8
14/12/2011 0:00;44;1179;4
10/08/2010 0:00;70;714;4
31/03/2016 0:00;50;588;4
17/09/2007 0:00;31;899;8
06/11/2008 0:00;41;656;8
03/06/2015 0:00;39;644;4
07/02/2008 0:00;27;721;8
31/03/2016 0:00;27;767;4
13/07/2009 0:00;38;899;8
25/11/2009 0:00;42;731;4
30/04/2014 0:00;46;558;4
25/11/2009 0:00;40;639;4
31/03/2016 0:00;30;974;4
25/11/2009 0:00;20;541;4
10/08/2010 0:00;54;643;4
05/09/2014 0:00;24;572;4
10/08/2010 0:00;22;948;4
20/12/2010 0:00;33;989;4
31/03/2016 0:00;48;765;4
19/08/2013 0:00;66;1029;4
28/04/2011 0:00;33;773;4
31/03/2016 0:00;30;1004;4
31/03/2016 0:00;52;621;4
14/12/2011 0:00;35;668;4
31/03/2016 0:00;33;522;4
31/03/2016 0:00;56;1190;4
31/03/2016 0:00;43;564;4
23/12/2013 0:00;27;629;4
31/03/2016 0:00;31;937;4
31/03/2016 0:00;68;883;4
05/12/2019 0:00;83;980;4
26/10/2022 0:00;63;591;4
30/05/2014 0:00;52;878;4
30/06/2016 0:00;55;566;4
03/12/2010 0:00;47;948;8
05/12/2019 0:00;49;620;4
24/01/2008 0:00;48;745;8
03/03/2017 0:00;47;1035;4
15/11/2005 0:00;62;853;8
26/10/2022 0:00;53;550;4
27/11/2018 0:00;78;731;4
06/04/2011 0:00;47;879;4
26/10/2022 0:00;44;1150;4
15/11/2005 0:00;47;844;8
02/08/2006 0:00;60;842;8
02/08/2006 0:00;40;588;8
26/10/2022 0:00;61;645;4
15/11/2005 0:00;22;778;8
03/12/2010 0:00;47;769;8
09/05/2007 0:00;39;939;8
29/03/2010 0:00;51;918;4
27/10/2015 0:00;31;744;4
03/12/2010 0:00;38;866;8
12/09/2007 0:00;38;559;8
02/08/2006 0:00;46;517;8
09/05/2007 0:00;41;921;8
05/12/2019 0:00;71;1123;4
22/03/2006 0:00;37;518;8
03/12/2010 0:00;25;583;8
03/08/2010 0:00;45;1158;4
12/09/2007 0:00;27;834;8
12/09/2007 0:00;37;979;8
03/12/2010 0:00;37;629;8
24/01/2008 0:00;60;470;8
03/12/2010 0:00;30;656;8
30/05/2014 0:00;42;778;4
04/06/2008 0:00;36;1030;8
04/06/2008 0:00;28;994;8
05/01/2021 0:00;48;1152;4
26/10/2022 0:00;45;873;4
05/01/2021 0:00;57;922;4
17/09/2013 0:00;36;967;4
27/06/2015 0:00;26;766;4
05/12/2019 0:00;62;1194;4
05/09/2012 0:00;41;548;4
14/03/2018 0:00;45;402;4
30/05/2014 0:00;50;614;4
31/08/2020 0:00;50;416;4
03/11/2017 0:00;36;222;4
05/01/2021 0:00;73;244;4
05/12/2019 0:00;52;333;4
26/10/2022 0:00;56;445;4
05/12/2019 0:00;53;372;4
26/10/2022 0:00;50;976;4
31/07/2019 0:00;41;757;4
05/12/2019 0:00;69;981;4
26/10/2022 0:00;53;577;4
26/10/2022 0:00;31;970;4
26/10/2022 0:00;37;974;4
26/10/2022 0:00;28;303;4
26/10/2022 0:00;32;232;4
05/12/2019 0:00;18;324;4
31/08/2020 0:00;24;373;4
05/12/2019 0:00;37;367;4
26/10/2022 0:00;47;173;4
12/07/2006 0:00;46;173;8
12/08/2008 0:00;63;293;8
04/05/2023 0:00;58;308;4
04/05/2023 0:00;57;511;4
20/08/2010 0:00;45;524;4
12/07/2006 0:00;37;395;8
03/03/2006 0:00;33;327;8
26/07/2007 0:00;40;173;8
03/03/2006 0:00;36;213;8
22/11/2019 0:00;52;277;4
26/07/2007 0:00;43;365;8
26/07/2007 0:00;37;404;8
15/12/2021 0:00;51;410;4
26/10/2005 0:00;41;306;8
14/05/2014 0:00;48;512;4
26/10/2005 0:00;44;427;8
03/03/2006 0:00;36;251;8
03/03/2006 0:00;39;377;8
31/08/2012 0:00;39;268;4
26/10/2005 0:00;19;553;8
26/10/2005 0:00;33;332;8
22/11/2019 0:00;49;436;4
16/04/2010 0:00;34;551;4
31/07/2020 0:00;54;298;4
16/05/2017 0:00;62;306;4
04/05/2023 0:00;51;428;4
15/12/2008 0:00;57;613;8
15/11/2006 0:00;38;379;8
12/07/2006 0:00;37;514;8
07/04/2008 0:00;58;732;8
07/04/2008 0:00;29;1199;8
07/04/2008 0:00;25;659;8
26/12/2013 0:00;34;783;4
11/12/2009 0:00;37;678;4
27/04/2012 0:00;33;615;4
22/04/2009 0:00;51;1013;8
01/12/2020 0:00;52;442;4
11/12/2009 0:00;51;503;4
11/12/2009 0:00;34;282;4
25/08/2009 0:00;49;347;8
16/04/2010 0:00;22;170;4
21/07/2016 0:00;62;233;4
14/05/2014 0:00;44;257;4
26/04/2013 0:00;25;357;4
26/12/2013 0:00;44;227;4
11/12/2009 0:00;59;367;4
04/05/2023 0:00;50;405;4
27/04/2012 0:00;34;526;4
27/04/2012 0:00;31;228;4
08/03/2016 0:00;29;172;4
27/04/2012 0:00;42;355;4
21/12/2012 0:00;46;378;4
04/05/2023 0:00;49;354;4
21/12/2012 0:00;47;199;4
16/12/2010 0:00;36;275;4
20/12/2011 0:00;47;471;4
06/06/2018 0:00;49;470;4
21/12/2012 0:00;35;331;4
16/10/2015 0:00;52;766;4
04/05/2023 0:00;51;972;4
04/05/2023 0:00;46;752;4
21/07/2016 0:00;45;631;4
04/05/2023 0:00;72;865;4
05/02/2015 0:00;21;779;4
27/04/2012 0:00;26;953;4
26/04/2013 0:00;20;1023;4
04/05/2023 0:00;40;307;4
26/04/2013 0:00;49;311;4
21/07/2016 0:00;28;258;4
26/04/2013 0:00;27;434;4
21/12/2012 0:00;46;357;4
21/12/2012 0:00;59;448;4
04/05/2023 0:00;52;263;4
26/04/2013 0:00;41;475;4
04/05/2023 0:00;40;345;4
26/08/2022 0:00;28;320;4
22/09/2014 0:00;20;401;4
04/05/2023 0:00;55;337;4
12/06/2015 0:00;33;273;4
08/03/2016 0:00;26;362;4
21/07/2016 0:00;30;383;4
04/05/2023 0:00;27;466;4
22/11/2019 0:00;31;463;4
23/12/2022 0:00;27;243;4
22/11/2019 0:00;52;410;4
15/09/2017 0:00;28;417;4
25/01/2018 0:00;51;529;4
25/01/2018 0:00;33;489;4
12/04/2021 0:00;26;396;4
01/12/2020 0:00;47;291;4
25/10/2018 0:00;29;286;4
12/07/2019 0:00;71;275;4
04/05/2023 0:00;30;365;4
04/05/2023 0:00;34;230;4
04/05/2023 0:00;33;496;4
04/05/2023 0:00;39;322;4
23/12/2022 0:00;21;208;4
04/05/2023 0:00;49;488;4
04/05/2023 0:00;45;298;4
04/05/2023 0:00;39;407;4
04/05/2023 0:00;35;506;4
04/05/2023 0:00;29;541;4
04/05/2023 0:00;30;358;4
04/05/2023 0:00;51;480;4
04/05/2023 0:00;38;405;4
24/04/2008 0:00;61;592;8
22/12/2017 0:00;80;483;4
04/09/2018 0:00;54;215;4
04/04/2007 0:00;49;210;8
08/08/2007 0:00;32;295;8
23/09/2009 0:00;69;228;4
08/08/2007 0:00;53;427;8
23/11/2006 0:00;35;281;8
04/04/2007 0:00;74;418;8
24/04/2008 0:00;55;551;8
24/04/2008 0:00;47;808;8
14/05/2009 0:00;51;1070;8
28/01/2010 0:00;57;919;4
02/02/2023 0:00;73;996;4
26/07/2013 0:00;64;927;4
18/12/2019 0:00;59;1131;4
12/07/2012 0:00;53;608;4
18/12/2007 0:00;50;796;8
30/12/2008 0:00;34;1089;8
24/04/2008 0:00;49;676;8
23/11/2006 0:00;47;220;8
28/01/2010 0:00;73;426;4
13/07/2006 0:00;35;472;8
30/12/2008 0:00;30;407;8
04/09/2018 0:00;45;331;4
03/04/2014 0:00;49;466;4
14/05/2009 0:00;51;479;8
24/04/2008 0:00;42;461;8
23/11/2006 0:00;37;190;8
23/11/2006 0:00;52;536;8
28/01/2010 0:00;57;490;4
23/09/2009 0:00;38;357;4
02/02/2023 0:00;77;379;4
04/09/2008 0:00;45;416;8
24/04/2008 0:00;47;339;8
11/10/2010 0:00;42;162;4
04/09/2008 0:00;70;373;8
04/09/2008 0:00;39;320;8
24/04/2008 0:00;29;236;8
24/04/2008 0:00;43;439;8
14/05/2009 0:00;42;218;8
02/06/2010 0:00;27;303;4
24/04/2008 0:00;22;248;8
28/01/2010 0:00;32;398;4
15/09/2022 0:00;38;391;4
21/12/2016 0:00;46;418;4
02/06/2010 0:00;35;207;4
28/01/2010 0:00;59;859;4
14/05/2009 0:00;66;1105;8
23/09/2009 0:00;19;581;4
28/10/2011 0:00;35;583;4
02/02/2023 0:00;44;534;4
02/03/2012 0:00;48;838;4
02/06/2010 0:00;26;232;4
16/08/2021 0:00;68;520;4
18/12/2019 0:00;78;504;4
02/06/2010 0:00;37;240;4
04/09/2018 0:00;50;452;4
02/02/2023 0:00;47;238;4
26/03/2013 0:00;44;512;4
14/02/2011 0:00;39;525;4
11/10/2010 0:00;56;398;4
21/04/2015 0:00;29;321;4
31/08/2017 0:00;78;437;4
02/02/2023 0:00;54;268;4
03/04/2014 0:00;71;410;4
03/04/2014 0:00;42;412;4
21/04/2015 0:00;49;422;4
26/07/2013 0:00;78;237;4
14/08/2014 0:00;37;509;4
18/12/2019 0:00;74;282;4
18/12/2019 0:00;78;298;4
02/02/2023 0:00;66;269;4
21/04/2015 0:00;69;392;4
22/12/2017 0:00;28;377;4
04/09/2018 0:00;23;370;4
02/02/2023 0:00;60;415;4
15/09/2022 0:00;57;297;4
02/02/2023 0:00;49;967;4
18/12/2019 0:00;40;631;4
02/02/2023 0:00;69;546;4
02/02/2023 0:00;50;611;4
07/04/2021 0:00;33;696;4
02/02/2023 0:00;40;759;4
02/02/2023 0:00;25;731;4
22/03/2007 0:00;57;836;8
22/03/2007 0:00;42;1016;8
22/03/2007 0:00;67;665;8
28/10/2005 0:00;44;525;8
22/03/2007 0:00;64;598;8
22/03/2007 0:00;43;667;8
22/03/2007 0:00;56;782;8
22/03/2007 0:00;42;526;8
22/03/2007 0:00;35;704;8
12/07/2006 0:00;58;935;8
22/03/2007 0:00;31;711;8
22/03/2007 0:00;50;843;8
22/03/2007 0:00;26;549;8
22/03/2007 0:00;38;700;8
22/03/2007 0:00;50;503;8
28/10/2005 0:00;26;620;8
12/07/2006 0:00;58;851;8
06/03/2006 0:00;35;673;8
28/10/2005 0:00;21;607;8
22/03/2007 0:00;44;585;8
28/10/2005 0:00;60;856;8
12/07/2006 0:00;26;681;8
22/03/2007 0:00;44;766;8
22/03/2007 0:00;41;511;8
22/03/2007 0:00;47;915;8
22/03/2007 0:00;53;1007;8
22/03/2007 0:00;64;555;8
23/04/2007 0:00;52;490;8
28/12/2007 0:00;48;772;8
28/12/2007 0:00;42;883;8
28/12/2007 0:00;74;832;8
28/12/2007 0:00;42;769;8
18/08/2006 0:00;38;796;8
19/12/2006 0:00;50;1021;8
19/12/2006 0:00;34;1102;8
19/12/2006 0:00;43;735;8
14/12/2005 0:00;23;722;8
27/08/2007 0:00;31;705;8
14/12/2005 0:00;28;976;8
18/04/2006 0:00;26;629;8
27/08/2007 0:00;51;1068;8
18/08/2006 0:00;39;1106;8
28/12/2007 0:00;65;989;8
14/12/2005 0:00;44;822;8
28/12/2007 0:00;28;627;8
27/08/2007 0:00;31;895;8
28/12/2007 0:00;43;960;8
28/12/2007 0:00;41;606;8
27/08/2007 0:00;39;783;8
28/12/2007 0:00;25;984;8
28/12/2007 0:00;49;483;8
27/08/2007 0:00;37;741;8
28/12/2007 0:00;46;410;8
27/08/2007 0:00;40;472;8
28/12/2007 0:00;58;448;8
19/12/2006 0:00;50;501;8
28/12/2007 0:00;37;467;8
19/12/2006 0:00;25;299;8
28/12/2007 0:00;36;398;8
28/12/2007 0:00;22;252;8
18/04/2006 0:00;21;333;8
27/08/2007 0:00;51;265;8
18/04/2006 0:00;41;330;8
27/08/2007 0:00;48;286;8
28/12/2007 0:00;44;234;8
23/04/2007 0:00;29;232;8
28/12/2007 0:00;46;267;8
28/12/2007 0:00;22;466;8
19/12/2006 0:00;40;224;8
19/12/2006 0:00;20;389;8
28/12/2007 0:00;39;224;8
28/12/2007 0:00;42;563;8
28/12/2007 0:00;46;347;8
27/08/2007 0:00;53;263;8
23/04/2007 0:00;30;365;8
28/12/2007 0:00;39;178;8
28/12/2007 0:00;27;951;8
28/12/2007 0:00;36;589;8
28/12/2007 0:00;48;793;8
28/12/2007 0:00;39;889;8
28/12/2007 0:00;44;428;8
28/12/2007 0:00;19;291;8
28/12/2007 0:00;58;370;8
28/12/2007 0:00;52;483;8
28/12/2007 0:00;37;319;8
28/12/2007 0:00;37;332;8
28/12/2007 0:00;47;219;8
28/12/2007 0:00;36;256;8
28/12/2007 0:00;53;332;8
28/12/2007 0:00;53;186;8
28/12/2007 0:00;31;355;8
28/12/2007 0:00;53;374;8
20/01/2010 0:00;49;487;4
26/06/2012 0:00;47;446;4
21/10/2005 0:00;40;282;8
20/01/2010 0:00;49;264;4
11/04/2008 0:00;40;511;8
