Ideconomico;FechaPrestamo;EdadPrestamo;MontoPrestado;Cuotas;;;;
548;10/08/2010 0:00;22;948;4;;;;
549;20/12/2010 0:00;33;989;4;;;;
550;31/03/2016 0:00;48;765;4;;;;
551;19/08/2013 0:00;66;1029;4;;;;
552;28/04/2011 0:00;33;773;4;;;;
553;31/03/2016 0:00;30;1004;4;;;;
554;31/03/2016 0:00;52;621;4;;;;
555;14/12/2011 0:00;35;668;4;;;;
556;31/03/2016 0:00;33;522;4;;;;
557;31/03/2016 0:00;56;1190;4;;;;
558;31/03/2016 0:00;43;564;4;;;;
559;23/12/2013 0:00;27;629;4;;;;
560;31/03/2016 0:00;31;937;4;;;;
561;31/03/2016 0:00;68;883;4;;;;
562;05/12/2019 0:00;83;980;4;;;;
563;26/10/2022 0:00;63;591;4;;;;
564;30/05/2014 0:00;52;878;4;;;;
565;30/06/2016 0:00;55;566;4;;;;
566;03/12/2010 0:00;47;948;8;;;;
567;05/12/2019 0:00;49;620;4;;;;
568;24/01/2008 0:00;48;745;8;;;;
569;03/03/2017 0:00;47;1035;4;;;;
570;15/11/2005 0:00;62;853;8;;;;
571;26/10/2022 0:00;53;550;4;;;;
572;27/11/2018 0:00;78;731;4;;;;
573;06/04/2011 0:00;47;879;4;;;;
574;26/10/2022 0:00;44;1150;4;;;;
575;15/11/2005 0:00;47;844;8;;;;
576;02/08/2006 0:00;60;842;8;;;;
577;02/08/2006 0:00;40;588;8;;;;
578;26/10/2022 0:00;61;645;4;;;;
579;15/11/2005 0:00;22;778;8;;;;
580;03/12/2010 0:00;47;769;8;;;;
581;09/05/2007 0:00;39;939;8;;;;
582;29/03/2010 0:00;51;918;4;;;;
583;27/10/2015 0:00;31;744;4;;;;
584;03/12/2010 0:00;38;866;8;;;;
585;12/09/2007 0:00;38;559;8;;;;
586;02/08/2006 0:00;46;517;8;;;;
587;09/05/2007 0:00;41;921;8;;;;
588;05/12/2019 0:00;71;1123;4;;;;
589;22/03/2006 0:00;37;518;8;;;;
590;03/12/2010 0:00;25;583;8;;;;
591;03/08/2010 0:00;45;1158;4;;;;
592;12/09/2007 0:00;27;834;8;;;;
593;12/09/2007 0:00;37;979;8;;;;
594;03/12/2010 0:00;37;629;8;;;;
595;24/01/2008 0:00;60;470;8;;;;
596;03/12/2010 0:00;30;656;8;;;;
597;30/05/2014 0:00;42;778;4;;;;
598;04/06/2008 0:00;36;1030;8;;;;
599;04/06/2008 0:00;28;994;8;;;;
600;05/01/2021 0:00;48;1152;4;;;;
601;26/10/2022 0:00;45;873;4;;;;
602;05/01/2021 0:00;57;922;4;;;;
603;17/09/2013 0:00;36;967;4;;;;
604;27/06/2015 0:00;26;766;4;;;;
605;05/12/2019 0:00;62;1194;4;;;;
606;05/09/2012 0:00;41;548;4;;;;
607;14/03/2018 0:00;45;402;4;;;;
608;30/05/2014 0:00;50;614;4;;;;
609;31/08/2020 0:00;50;416;4;;;;
610;03/11/2017 0:00;36;222;4;;;;
611;05/01/2021 0:00;73;244;4;;;;
612;05/12/2019 0:00;52;333;4;;;;
613;26/10/2022 0:00;56;445;4;;;;
614;05/12/2019 0:00;53;372;4;;;;
615;26/10/2022 0:00;50;976;4;;;;
616;31/07/2019 0:00;41;757;4;;;;
617;05/12/2019 0:00;69;981;4;;;;
618;26/10/2022 0:00;53;577;4;;;;
619;26/10/2022 0:00;31;970;4;;;;
620;26/10/2022 0:00;37;974;4;;;;
621;26/10/2022 0:00;28;303;4;;;;
622;26/10/2022 0:00;32;232;4;;;;
623;05/12/2019 0:00;18;324;4;;;;
624;31/08/2020 0:00;24;373;4;;;;
625;05/12/2019 0:00;37;367;4;;;;
626;26/10/2022 0:00;47;173;4;;;;
627;12/07/2006 0:00;46;173;8;;;;
628;12/08/2008 0:00;63;293;8;;;;
629;04/05/2023 0:00;58;308;4;;;;
630;04/05/2023 0:00;57;511;4;;;;
631;20/08/2010 0:00;45;524;4;;;;
632;12/07/2006 0:00;37;395;8;;;;
633;03/03/2006 0:00;33;327;8;;;;
634;26/07/2007 0:00;40;173;8;;;;
635;03/03/2006 0:00;36;213;8;;;;
636;22/11/2019 0:00;52;277;4;;;;
637;26/07/2007 0:00;43;365;8;;;;
638;26/07/2007 0:00;37;404;8;;;;
639;15/12/2021 0:00;51;410;4;;;;
640;26/10/2005 0:00;41;306;8;;;;
641;14/05/2014 0:00;48;512;4;;;;
642;26/10/2005 0:00;44;427;8;;;;
643;03/03/2006 0:00;36;251;8;;;;
644;03/03/2006 0:00;39;377;8;;;;
645;31/08/2012 0:00;39;268;4;;;;
646;26/10/2005 0:00;19;553;8;;;;
647;26/10/2005 0:00;33;332;8;;;;
648;22/11/2019 0:00;49;436;4;;;;
649;16/04/2010 0:00;34;551;4;;;;
650;31/07/2020 0:00;54;298;4;;;;
651;16/05/2017 0:00;62;306;4;;;;
652;04/05/2023 0:00;51;428;4;;;;
653;15/12/2008 0:00;57;613;8;;;;
654;15/11/2006 0:00;38;379;8;;;;
655;12/07/2006 0:00;37;514;8;;;;
656;07/04/2008 0:00;58;732;8;;;;
657;07/04/2008 0:00;29;1199;8;;;;
658;07/04/2008 0:00;25;659;8;;;;
659;26/12/2013 0:00;34;783;4;;;;
660;11/12/2009 0:00;37;678;4;;;;
661;27/04/2012 0:00;33;615;4;;;;
662;22/04/2009 0:00;51;1013;8;;;;
663;01/12/2020 0:00;52;442;4;;;;
664;11/12/2009 0:00;51;503;4;;;;
665;11/12/2009 0:00;34;282;4;;;;
666;25/08/2009 0:00;49;347;8;;;;
667;16/04/2010 0:00;22;170;4;;;;
668;21/07/2016 0:00;62;233;4;;;;
669;14/05/2014 0:00;44;257;4;;;;
670;26/04/2013 0:00;25;357;4;;;;
671;26/12/2013 0:00;44;227;4;;;;
672;11/12/2009 0:00;59;367;4;;;;
673;04/05/2023 0:00;50;405;4;;;;
674;27/04/2012 0:00;34;526;4;;;;
675;27/04/2012 0:00;31;228;4;;;;
676;08/03/2016 0:00;29;172;4;;;;
677;27/04/2012 0:00;42;355;4;;;;
678;21/12/2012 0:00;46;378;4;;;;
679;04/05/2023 0:00;49;354;4;;;;
680;21/12/2012 0:00;47;199;4;;;;
681;16/12/2010 0:00;36;275;4;;;;
682;20/12/2011 0:00;47;471;4;;;;
683;06/06/2018 0:00;49;470;4;;;;
684;21/12/2012 0:00;35;331;4;;;;
685;16/10/2015 0:00;52;766;4;;;;
686;04/05/2023 0:00;51;972;4;;;;
687;04/05/2023 0:00;46;752;4;;;;
688;21/07/2016 0:00;45;631;4;;;;
689;04/05/2023 0:00;72;865;4;;;;
690;05/02/2015 0:00;21;779;4;;;;
691;27/04/2012 0:00;26;953;4;;;;
692;26/04/2013 0:00;20;1023;4;;;;
693;04/05/2023 0:00;40;307;4;;;;
694;26/04/2013 0:00;49;311;4;;;;
695;21/07/2016 0:00;28;258;4;;;;
696;26/04/2013 0:00;27;434;4;;;;
697;21/12/2012 0:00;46;357;4;;;;
698;21/12/2012 0:00;59;448;4;;;;
699;04/05/2023 0:00;52;263;4;;;;
700;26/04/2013 0:00;41;475;4;;;;
